Date,Details,Amount,Currency,Debit/Credit
21 Feb 2025,Salary Credit,58000,BDT,Credit
22 Feb 2025,Coffee Shop,240,BDT,Debit
23 Feb 2025,Rickshaw Fare,70,BDT,Debit
24 Feb 2025,Grocery Store,2900,BDT,Debit
25 Feb 2025,Electricity Bill,1400,BDT,Debit
26 Feb 2025,Restaurant Dinner,1100,BDT,Debit
27 Feb 2025,Freelance Payment,19000,BDT,Credit
28 Feb 2025,Internet Bill,950,BDT,Debit
01 Mar 2025,Pharmacy,550,BDT,Debit
02 Mar 2025,Mobile Recharge,280,BDT,Debit

03 Mar 2025,Salary Credit,5000,USD,Credit
04 Mar 2025,Coffee Shop,6,USD,Debit
05 Mar 2025,Uber Ride,15,USD,Debit
06 Mar 2025,Grocery Store,115,USD,Debit
07 Mar 2025,Electricity Bill,72,USD,Debit
08 Mar 2025,Restaurant Dinner,58,USD,Debit
09 Mar 2025,Freelance Payment,770,USD,Credit
10 Mar 2025,Netflix Subscription,16,USD,Debit
11 Mar 2025,Pharmacy,19,USD,Debit
12 Mar 2025,Mobile Recharge,22,USD,Debit

13 Mar 2025,Salary Credit,17800,AED,Credit
14 Mar 2025,Coffee Shop,18,AED,Debit
15 Mar 2025,Taxi Ride,32,AED,Debit
16 Mar 2025,Supermarket,210,AED,Debit
17 Mar 2025,Water Bill,88,AED,Debit
18 Mar 2025,Restaurant Lunch,72,AED,Debit
19 Mar 2025,Freelance Payment,2900,AED,Credit
20 Mar 2025,Gym Membership,200,AED,Debit
21 Mar 2025,Online Course,420,AED,Debit
22 Mar 2025,Fast Food,29,AED,Debit

23 Mar 2025,Salary Credit,59000,BDT,Credit
24 Mar 2025,Coffee Shop,260,BDT,Debit
25 Mar 2025,Rickshaw Fare,75,BDT,Debit
26 Mar 2025,Grocery Store,3100,BDT,Debit
27 Mar 2025,Electricity Bill,1450,BDT,Debit
28 Mar 2025,Restaurant Dinner,1150,BDT,Debit
29 Mar 2025,Freelance Payment,19500,BDT,Credit
30 Mar 2025,Internet Bill,980,BDT,Debit
31 Mar 2025,Pharmacy,580,BDT,Debit
01 Apr 2025,Mobile Recharge,290,BDT,Debit

02 Apr 2025,Salary Credit,5100,USD,Credit
03 Apr 2025,Coffee Shop,5.5,USD,Debit
04 Apr 2025,Uber Ride,13.5,USD,Debit
05 Apr 2025,Grocery Store,118,USD,Debit
06 Apr 2025,Electricity Bill,74,USD,Debit
07 Apr 2025,Restaurant Dinner,57,USD,Debit
08 Apr 2025,Freelance Payment,790,USD,Credit
09 Apr 2025,Netflix Subscription,16,USD,Debit
10 Apr 2025,Pharmacy,21,USD,Debit
11 Apr 2025,Mobile Recharge,23,USD,Debit

12 Apr 2025,Salary Credit,18200,AED,Credit
13 Apr 2025,Coffee Shop,19,AED,Debit
14 Apr 2025,Taxi Ride,34,AED,Debit
15 Apr 2025,Supermarket,230,AED,Debit
16 Apr 2025,Water Bill,92,AED,Debit
17 Apr 2025,Restaurant Lunch,78,AED,Debit
18 Apr 2025,Freelance Payment,3100,AED,Credit
19 Apr 2025,Gym Membership,200,AED,Debit
20 Apr 2025,Online Course,460,AED,Debit
21 Apr 2025,Fast Food,31,AED,Debit
